"ABUNDANCE","BIOMASS","GENUS_SPECIES","SAMPLE_DESC","PLOT","LATITUDE","LONGITUDE","DAY","MONTH","YEAR"
"1","3.1","Abies balsamea","46.92_-88.026_7090/0/101_1994","7090/0/101","46.920000","-88.026000","1","1","1994"
"1","4.4","Abies balsamea","46.92_-88.026_7090/0/101_1999","7090/0/101","46.920000","-88.026000","1","1","1999"
"1","5.3","Abies balsamea","46.92_-88.026_7090/0/101_2004","7090/0/101","46.920000","-88.026000","1","1","2004"
"1","6.4","Abies balsamea","46.92_-88.026_7090/0/101_2009","7090/0/101","46.920000","-88.026000","1","1","2009"
"1","4.7","Abies balsamea","46.92_-88.026_7090/0/119_1994","7090/0/119","46.920000","-88.026000","1","1","1994"
"1","5.8","Abies balsamea","46.92_-88.026_7090/0/119_1999","7090/0/119","46.920000","-88.026000","1","1","1999"
"1","6.5","Abies balsamea","46.92_-88.026_7090/0/119_2004","7090/0/119","46.920000","-88.026000","1","1","2004"
"1","7.5","Abies balsamea","46.92_-88.026_7090/0/119_2009","7090/0/119","46.920000","-88.026000","1","1","2009"
"1","5.1","Abies balsamea","46.92_-88.026_7090/0/121_1999","7090/0/121","46.920000","-88.026000","1","1","1999"
"1","6","Abies balsamea","46.92_-88.026_7090/0/121_2004","7090/0/121","46.920000","-88.026000","1","1","2004"
"1","6.4","Abies balsamea","46.92_-88.026_7090/0/121_2009","7090/0/121","46.920000","-88.026000","1","1","2009"
"1","6.5","Abies balsamea","46.92_-88.026_7090/0/125_1999","7090/0/125","46.920000","-88.026000","1","1","1999"
"1","7.6","Abies balsamea","46.92_-88.026_7090/0/125_2004","7090/0/125","46.920000","-88.026000","1","1","2004"
"1","8.8","Abies balsamea","46.92_-88.026_7090/0/125_2009","7090/0/125","46.920000","-88.026000","1","1","2009"
"1","3.9","Abies balsamea","46.92_-88.026_7099/0/620_1994","7099/0/620","46.920000","-88.026000","1","1","1994"
"1","4.9","Abies balsamea","46.92_-88.026_7099/0/620_1999","7099/0/620","46.920000","-88.026000","1","1","1999"
"1","5.7","Abies balsamea","46.92_-88.026_7099/0/620_2004","7099/0/620","46.920000","-88.026000","1","1","2004"
"1","6.6","Abies balsamea","46.92_-88.026_7099/0/620_2009","7099/0/620","46.920000","-88.026000","1","1","2009"
"1","1.6","Abies balsamea","46.92_-88.026_7099/0/624_1994","7099/0/624","46.920000","-88.026000","1","1","1994"
"1","1.6","Abies balsamea","46.92_-88.026_7099/1/624_1999","7099/1/624","46.920000","-88.026000","1","1","1999"
"1","8.9","Abies balsamea","46.92_-88.026_7099/0/627_1989","7099/0/627","46.920000","-88.026000","1","1","1989"
"1","10.3","Abies balsamea","46.92_-88.026_7099/0/627_1994","7099/0/627","46.920000","-88.026000","1","1","1994"
"1","11.9","Abies balsamea","46.92_-88.026_7099/0/627_1999","7099/0/627","46.920000","-88.026000","1","1","1999"
"1","12","Abies balsamea","46.92_-88.026_7099/0/627_2004","7099/0/627","46.920000","-88.026000","1","1","2004"
"1","12.9","Abies balsamea","46.92_-88.026_7099/0/627_2009","7099/0/627","46.920000","-88.026000","1","1","2009"
"1","5","Abies balsamea","46.92_-88.026_7099/0/632_1967","7099/0/632","46.920000","-88.026000","1","1","1967"
"1","18.5","Abies balsamea","46.92_-88.026_7099/0/632_1989","7099/0/632","46.920000","-88.026000","1","1","1989"
"1","19.6","Abies balsamea","46.92_-88.026_7099/0/632_1994","7099/0/632","46.920000","-88.026000","1","1","1994"
"1","20.3","Abies balsamea","46.92_-88.026_7099/0/632_1999","7099/0/632","46.920000","-88.026000","1","1","1999"
"1","20.3","Abies balsamea","46.92_-88.026_7099/1/632_2004","7099/1/632","46.920000","-88.026000","1","1","2004"
"1","13.2","Abies balsamea","46.92_-88.026_7099/0/635_1967","7099/0/635","46.920000","-88.026000","1","1","1967"
"1","18.7","Abies balsamea","46.92_-88.026_7099/0/635_1989","7099/0/635","46.920000","-88.026000","1","1","1989"
"1","18.7","Abies balsamea","46.92_-88.026_7099/1/635_1994","7099/1/635","46.920000","-88.026000","1","1","1994"
"1","1.5","Abies balsamea","46.92_-88.026_7100/0/674_1994","7100/0/674","46.920000","-88.026000","1","1","1994"
"1","1.5","Abies balsamea","46.92_-88.026_7100/1/674_1999","7100/1/674","46.920000","-88.026000","1","1","1999"
"1","14.9","Abies balsamea","46.92_-88.026_7104/0/877_1962","7104/0/877","46.920000","-88.026000","1","1","1962"
"1","14.9","Abies balsamea","46.92_-88.026_7104/0/877_1967","7104/0/877","46.920000","-88.026000","1","1","1967"
"1","14.9","Abies balsamea","46.92_-88.026_7104/1/877_1989","7104/1/877","46.920000","-88.026000","1","1","1989"
"1","14.9","Abies balsamea","46.92_-88.026_7104/0/882_1962","7104/0/882","46.920000","-88.026000","1","1","1962"
"1","16.2","Abies balsamea","46.92_-88.026_7104/0/882_1967","7104/0/882","46.920000","-88.026000","1","1","1967"
"1","17.9","Abies balsamea","46.92_-88.026_7104/0/882_1989","7104/0/882","46.920000","-88.026000","1","1","1989"
"1","17.9","Abies balsamea","46.92_-88.026_7104/1/882_1994","7104/1/882","46.920000","-88.026000","1","1","1994"
"1","23.6","Abies balsamea","46.92_-88.026_7104/0/898_1962","7104/0/898","46.920000","-88.026000","1","1","1962"
"1","24.8","Abies balsamea","46.92_-88.026_7104/0/898_1967","7104/0/898","46.920000","-88.026000","1","1","1967"
"1","31","Abies balsamea","46.92_-88.026_7104/0/898_1989","7104/0/898","46.920000","-88.026000","1","1","1989"
"1","31.6","Abies balsamea","46.92_-88.026_7104/0/898_1994","7104/0/898","46.920000","-88.026000","1","1","1994"
"1","32","Abies balsamea","46.92_-88.026_7104/0/898_1999","7104/0/898","46.920000","-88.026000","1","1","1999"
"1","32.3","Abies balsamea","46.92_-88.026_7104/0/898_2004","7104/0/898","46.920000","-88.026000","1","1","2004"
"1","32.3","Abies balsamea","46.92_-88.026_7104/1/898_2009","7104/1/898","46.920000","-88.026000","1","1","2009"
"1","14.9","Abies balsamea","46.92_-88.026_7104/0/905_1962","7104/0/905","46.920000","-88.026000","1","1","1962"
"1","15.2","Abies balsamea","46.92_-88.026_7104/0/905_1967","7104/0/905","46.920000","-88.026000","1","1","1967"
"1","16.3","Abies balsamea","46.92_-88.026_7104/1/905_1989","7104/1/905","46.920000","-88.026000","1","1","1989"
"1","12.9","Abies balsamea","46.92_-88.026_7106/0/991_1962","7106/0/991","46.920000","-88.026000","1","1","1962"
